title,artist,origin,description,image_url,video_url
"Tree of Life",Sita Devi,"Madhubani, Bihar","A traditional Madhubani painting symbolizing growth and harmony.","https://i.etsystatic.com/26441189/r/il/136003/3091799066/il_1140xN.3091799066_c4gr.jpg","https://www.youtube.com/watch?v=KM2taeVv6qQ"
"Madhubani Peacocks",Sita Devi,"Madhubani, Bihar","A vibrant Madhubani painting featuring peacocks, symbolizing beauty.","https://i.pinimg.com/originals/d9/cd/f5/d9cdf5350c79766ecc1f0b6b06c6cb5a.jpg","https://www.youtube.com/watch?v=5bGWVeFjdLQ"
"Warli Dance",Jivya Soma Mashe,"Maharashtra","A Warli painting depicting tribal dance and celebration.","https://www.dailyartmagazine.com/wp-content/uploads/2021/10/1280px-A_Warli_painting_by_Jivya_Soma_Mashe_Thane_district.jpg","https://www.youtube.com/watch?v=GgX2QhTtHZQ"
"Tanjore Gold Leaf",Traditional Tanjore Artists,"Tamil Nadu","A Tanjore painting embellished with gold leaf, depicting deities.","https://i.pinimg.com/736x/6c/b5/9c/6cb59c820adac376b1ef1c419f73d260.jpg","https://www.youtube.com/watch?v=j__CwEgrNas"
"Kalamkari Ramayana",Traditional Kalamkari Artists,"Andhra Pradesh","A Kalamkari artwork illustrating scenes from the Ramayana.","https://d218kegnl5or7l.cloudfront.net/wp-content/uploads/2014/06/kalamkari.jpg","https://www.youtube.com/watch?v=5uaOfYfLn9Y"
"Gond Art",Bhajju Shyam,"Madhya Pradesh","A Gond painting showcasing the rich flora and fauna of the region.","https://indiaartfair.in/app/uploads/2022/08/Bhajju-Shyam.-Riwaaz-2019.-Acrylic-on-paper.-Courtesy-of-Aakriti-Art-Gallery.jpg","https://www.youtube.com/watch?v=Id5P_uC0MxI"
"Miniature Mughal",Traditional Mughal Artists,"Rajasthan","A Mughal miniature painting depicting royal court scenes.","https://i.pinimg.com/originals/c7/b4/ea/c7b4ea7db8f5ad812f1d5660b8f4c634.jpg","https://www.youtube.com/watch?v=T98lFmoCWbU"
"Batik Art",Traditional Batik Artists,"West Bengal","A Batik painting using wax-resist dyeing technique.","https://asiainch.org/wp-content/uploads/2001/06/1-11.png","https://www.youtube.com/watch?v=MlAa33HxPFg"
"Channapatna Toys",Traditional Craftsmen,"Karnataka","Colorful wooden toys made using traditional Channapatna techniques.","https://cdn.shopify.com/s/files/1/0155/8131/files/BeFunky-collage_46c17df2-623c-43db-9e36-6359862b0f9d.jpg?v=1660990233&width=400","https://www.youtube.com/watch?v=a1N6zZv4QJI"
"Kutch Embroidery",Traditional Kutch Artisans,"Gujarat","Intricate embroidery work from the Kutch region, showcasing vibrant patterns.","https://thumbs.dreamstime.com/b/kutch-art-embroidery-decorations-beautiful-view-colorful-ahir-bharat-embroidered-handicrafts-close-up-rajasthan-flower-180796915.jpg","https://www.youtube.com/watch?v=WGXIlkNxh0E"
"Mysore Paintings",Traditional Mysore Artists,"Karnataka","Mysore paintings known for their rich colors and intricate details.","https://www.nriol.com/images/mysore-new02.jpg","https://www.youtube.com/watch?v=b-mizy-OLcU"
"Bamboo Craft",Traditional Bamboo Artisans,"Northeast India","Crafts made from bamboo, showcasing the skill of artisans from the region.","https://i.ytimg.com/vi/luW3jYjCDvU/maxresdefault.jpg","https://www.youtube.com/watch?v=tN8AI5hRGf4"
"Kashmiri Shawls",Traditional Kashmiri Artisans,"Jammu and Kashmir","Handwoven shawls known for their exquisite patterns and warmth.","https://kashmirobserver.net/wp-content/uploads/2023/07/sozni-embroidery.jpg","https://www.youtube.com/watch?v=vajfqtwI1Qg"
"Pichwai Art",Traditional Pichwai Artists,"Rajasthan","Pichwai paintings depicting Lord Krishna's life and stories.","https://i.etsystatic.com/17804486/r/il/fba442/1920373923/il_1588xN.1920373923_9arx.jpg","https://www.youtube.com/watch?v=2XeetxcP6T8"
"Kalamkari Nature",Traditional Kalamkari Artists,"Andhra Pradesh","A Kalamkari artwork inspired by nature and wildlife.","https://laasyaart.com/wp-content/uploads/2022/06/Tree-of-Life-KIA12-detail-3.jpg","https://www.youtube.com/watch?v=IA53uIp-96A"
"Kutch Pottery",Traditional Kutch Potters,"Gujarat","Colorful pottery from Kutch, showcasing traditional designs.","https://cdn.shopify.com/s/files/1/0717/8302/2880/collections/2957977221.jpg?v=1676428132","https://www.youtube.com/watch?v=TPKBIFbA1g0"
"Bihari Madhubani",Traditional Madhubani Artists,"Bihar","Madhubani art depicting local folklore and traditions.","https://i.pinimg.com/originals/9e/11/a3/9e11a3fdfaabfa8744d90199d60213be.jpg","https://www.youtube.com/watch?v=KZM4_uKAFsM"
"Kashmiri Papier Mâché",Traditional Kashmiri Artisans,"Jammu and Kashmir","Intricate papier mâché crafts from Kashmir, known for their detailed designs.","https://www.kashmironline.com/blog/wp-content/uploads/2023/01/paper-mache-art-001-768x768.jpg","https://www.youtube.com/watch?v=vajfqtwI1Qg"
"Bamboo Weaving",Traditional Bamboo Artisans,"Northeast India","Artisan-crafted bamboo products showcasing traditional weaving techniques.","https://img.freepik.com/premium-photo/art-bamboo-weaving-handmade-traditional_785229-6394.jpg","https://www.youtube.com/watch?v=NeGlyoJDgIc"
