state,name,ingredients,diet,prep_time,cook_time,flavor_profile,course,region,Latitude,Longitude
Andhra Pradesh,Ariselu,"Rice flour, jaggery, ghee",vegetarian,15,75,sweet,dessert,South,15.9129,79.74
Assam,Lyangcha,"Flour, fried milk power, sugar syrup",vegetarian,20,30,sweet,dessert,North East,26.2006,92.9376
Bihar,Malapua,"Yoghurt, refined flour, ghee, fennel seeds",vegetarian,10,120,sweet,dessert,North,25.0961,85.3131
Chhattisgarh,Fara,"Chana dal, whole wheat flour, arhar dal, white urad dal, garam masala powder",vegetarian,10,60,spicy,snack,Central,21.2787,81.8661
Goa,Vindaloo,"Chicken, coconut oil, wine vinegar, ginger, green, cinnamon",non vegetarian,10,40,spicy,main course,West,15.2993,74.124
Gujarat,Basundi,"Sugar, milk, nuts",vegetarian,10,35,sweet,dessert,West,22.2587,71.1924
Haryana,Kadhi pakoda,"Besan, garam masala powder, gram flour, ginger, curry leaves",vegetarian,10,60,spicy,main course,North,29.0588,76.0856
Karnataka,Dharwad pedha,"Milk, Sugar, Dharwadi buffalo milk",vegetarian,20,60,sweet,dessert,South,15.3173,75.7139
Kerala,Kuzhi paniyaram,"Black lentils, rice",vegetarian,10,20,sweet,dessert,South,10.8505,76.2711
Madhya Pradesh,Laapsi,"Cinnamon, jaggery, clarified butter, dry roasted",vegetarian,10,40,spicy,main course,Central,22.9734,78.6569
Maharashtra,Sheera,"Semolina, ghee, nuts, milk",vegetarian,10,25,sweet,dessert,West,19.7515,75.7139
Manipur,Chak Hao Kheer,"Rice, milk, sugar, cardamom",vegetarian,240,45,sweet,dessert,North East,24.6637,93.9063
Nagaland,Galho,"Rice, axone, salt, water, chillies, pork",non vegetarian,5,15,spicy,main course,North East,26.1584,94.5624
Odisha,Phirni,"Rice, sugar, nuts",vegetarian,30,20,sweet,dessert,East,20.9517,85.0985
Punjab,Gajar ka halwa,"Carrots, milk, sugar, ghee, cashews, raisins",vegetarian,15,60,sweet,dessert,North,31.1471,75.3412
Rajasthan,Boondi,"Gram flour, ghee, sugar",vegetarian,80,30,sweet,dessert,West,27.0238,74.2179
Tamil Nadu,Pongal,"Rice, jaggery, cashews, ghee",vegetarian,5,20,sweet,dessert,South,11.1271,78.6569
Telangana,Double ka meetha,"Loaf bread, milk",vegetarian,20,30,sweet,dessert,South,18.1124,79.0193
Uttar Pradesh,Jalebi,"Maida, corn flour, baking soda, vinegar, curd, water, turmeric, saffron, cardamom",vegetarian,10,50,sweet,dessert,North,26.8467,80.9462
Uttarakhand,Singori,"Khoa, coconut, molu leaf",vegetarian,10,20,sweet,dessert,North,30.0668,79.0193
West Bengal,Balu shahi,"Maida flour, yogurt, oil, sugar",vegetarian,45,25,sweet,dessert,East,22.9868,87.855
